Year,Artist,Category
1995,Streets of Philadelphia,Song of the Year
1994,"Tibor Rudas, producer",Album of the Year
1994,Whitney Houston,Album of the Year
1994,Toni Braxton,Best New Artist
1994,Whitney Houston,Record of the Year
1994,A Whole New World,Song of the Year
1993,Eric Clapton,Album of the Year
1993,Arrested Development,Best New Artist
1993,Eric Clapton,Record of the Year
1993,"Tears in Heaven"" *",Song of the Year
1992,Natalie Cole,Album of the Year
1992,Marc Cohn,Best New Artist
1992,Natalie Cole (With Nat King Cole),Record of the Year
1992,"Unforgettable"" *",Song of the Year
1991,Quincy Jones,Album of the Year
1991,Mariah Carey,Best New Artist
1991,Phil Collins,Record of the Year
1991,From a Distance,Song of the Year
1990,Bonnie Raitt,Album of the Year
1990,Milli Vanilli (Later Revoked)[III],Best New Artist
1990,Bette Midler,Record of the Year
1990,"Wind Beneath My Wings"" *",Song of the Year
1989,"Jack Antonoff, Nathan Chapman, Imogen Heap, Max Martin, Mattman & Robin, Ali Payami, Shellback, Taylor Swift, Ryan Tedder & Noel Zancanella, producers; Jack Antonoff, Mattias Bylund, Smith Carlson, Nathan Chapman, Şerban Ghenea, John Hanes, Imogen Heap, Sam Holland, Michael Ilbert, Brendan Morawski, Laura Sisk & Ryan Tedder, engineers/mixers; Tom Coyne, mastering engineer",Album of the Year
1989,George Michael,Album of the Year
1989,Tracy Chapman,Best New Artist
1989,Bobby McFerrin,Record of the Year
1989,"Don't Worry, Be Happy"" *",Song of the Year
1988,U2,Album of the Year
1988,Jody Watley,Best New Artist
1988,Paul Simon,Record of the Year
1988,Somewhere Out There,Song of the Year
1987,Paul Simon,Album of the Year
1987,Bruce Hornsby & The Range,Best New Artist
1987,Steve Winwood,Record of the Year
1987,That's What Friends Are For,Song of the Year
1986,Phil Collins,Album of the Year
1986,Sade,Best New Artist
1986,USA for Africa,Record of the Year
1986,"We Are the World"" *",Song of the Year
1985,Lionel Richie,Album of the Year
1985,Cyndi Lauper,Best New Artist
1985,Tina Turner,Record of the Year
1985,"What's Love Got to Do with It"" *",Song of the Year
1984,Michael Jackson,Album of the Year
1984,Culture Club,Best New Artist
1984,Michael Jackson,Record of the Year
1984,Every Breath You Take,Song of the Year
1983,Toto,Album of the Year
1983,Men at Work,Best New Artist
1983,Toto,Record of the Year
1983,Always on My Mind,Song of the Year
